Id_A,SAME_AS,Id_B
18571725,SAME_AS,18781951
18571315,SAME_AS,18781964
18571686,SAME_AS,18781966
18571689,SAME_AS,18781967
18571690,SAME_AS,18781968
18571675,SAME_AS,18781974
18571533,SAME_AS,18781978
18330607,SAME_AS,18781981
18571531,SAME_AS,18781981
18571880,SAME_AS,18781982
18330752,SAME_AS,18781985
18280376,SAME_AS,18781985
18571806,SAME_AS,18781985
18391290,SAME_AS,18781985
18571580,SAME_AS,18781989
18571771,SAME_AS,18781995
18571862,SAME_AS,18782004
18570379,SAME_AS,18782009
18571869,SAME_AS,18782003
18571792,SAME_AS,18782010
18571778,SAME_AS,18782018
18571784,SAME_AS,18782021
18571349,SAME_AS,18782024
18571798,SAME_AS,18782026
18570610,SAME_AS,18782031
18570372,SAME_AS,18782033
18571801,SAME_AS,18782034
18571802,SAME_AS,18782036
18571811,SAME_AS,18782038
18571813,SAME_AS,18782040
18572397,SAME_AS,18782044
18570441,SAME_AS,18782045
18571630,SAME_AS,18782049
18571728,SAME_AS,18782050
18572064,SAME_AS,18782060
18570654,SAME_AS,18782061
18572350,SAME_AS,18782066
18571824,SAME_AS,18782070
18571724,SAME_AS,18782077
18571826,SAME_AS,18782078
18571828,SAME_AS,18782082
18571830,SAME_AS,18782083
18571893,SAME_AS,18782084
18571839,SAME_AS,18782097
18571844,SAME_AS,18782104
18572245,SAME_AS,18782110
18572247,SAME_AS,18782112
18572248,SAME_AS,18782113
18571884,SAME_AS,18782117
18572079,SAME_AS,18782128
18570355,SAME_AS,18782131
18570713,SAME_AS,18782137
18570560,SAME_AS,18782142
18571303,SAME_AS,18782147
18570003,SAME_AS,18782148
18571550,SAME_AS,18782152
18571325,SAME_AS,18782157
18571326,SAME_AS,18782158
18571329,SAME_AS,18782159
18571327,SAME_AS,18782160
18570705,SAME_AS,18782164
18570518,SAME_AS,18782166
18571367,SAME_AS,18782167
18571366,SAME_AS,18782171
18572183,SAME_AS,18782187
18572184,SAME_AS,18782189
18571346,SAME_AS,18782190
18571347,SAME_AS,18782192
18571351,SAME_AS,18782193
18571348,SAME_AS,18782194
18571422,SAME_AS,18782196
18571423,SAME_AS,18782197
18570433,SAME_AS,18782214
18571450,SAME_AS,18782221
18571451,SAME_AS,18782222
18571405,SAME_AS,18782228
18571454,SAME_AS,18782232
18571208,SAME_AS,18782244
18571413,SAME_AS,18782257
18571237,SAME_AS,18782265
18571357,SAME_AS,18782296
18571522,SAME_AS,18782297
18571431,SAME_AS,18782304
18571530,SAME_AS,18782310
18571529,SAME_AS,18782312
18571156,SAME_AS,18782313
18571159,SAME_AS,18782315
18571158,SAME_AS,18782317
18571438,SAME_AS,18782319
18571447,SAME_AS,18782320
18571446,SAME_AS,18782321
18570375,SAME_AS,18782324
18571668,SAME_AS,18782325
18570267,SAME_AS,18782332
18571535,SAME_AS,18782335
18571539,SAME_AS,18782341
18571544,SAME_AS,18782345
18571546,SAME_AS,18782347
18571723,SAME_AS,18782348
18571598,SAME_AS,18782358
18570439,SAME_AS,18782360
18572108,SAME_AS,18782363
18572131,SAME_AS,18782371
18572417,SAME_AS,18782373
18571120,SAME_AS,18782375
18571128,SAME_AS,18782377
18571124,SAME_AS,18782378
18571964,SAME_AS,18782380
18571972,SAME_AS,18782383
18572154,SAME_AS,18782397
18571415,SAME_AS,18782401
18572263,SAME_AS,18782410
18571109,SAME_AS,18782411
18572076,SAME_AS,18782415
18572081,SAME_AS,18782417
18571519,SAME_AS,18782423
18571520,SAME_AS,18782424
18572082,SAME_AS,18782425
18572113,SAME_AS,18782435
18572135,SAME_AS,18782436
18572013,SAME_AS,18782441
18572147,SAME_AS,18782469
18572128,SAME_AS,18782472
18572028,SAME_AS,18782475
18570264,SAME_AS,18782481
18570827,SAME_AS,18782486
18570825,SAME_AS,18782491
18570074,SAME_AS,18782492
18572360,SAME_AS,18782493
18571847,SAME_AS,18782497
18572042,SAME_AS,18782503
18572020,SAME_AS,18782507
18571579,SAME_AS,18782523
18572419,SAME_AS,18782526
18570272,SAME_AS,18782529
18571660,SAME_AS,18782530
18571621,SAME_AS,18782537
18571619,SAME_AS,18782535
18572229,SAME_AS,18782536
18570527,SAME_AS,18782538
18571622,SAME_AS,18782539
18571623,SAME_AS,18782543
18571655,SAME_AS,18782552
18571659,SAME_AS,18782554
18571547,SAME_AS,18782558
18572282,SAME_AS,18782559
18571012,SAME_AS,18782566
18571649,SAME_AS,18782571
18571444,SAME_AS,18782573
18571625,SAME_AS,18782581
18570443,SAME_AS,18782585
18572253,SAME_AS,18782586
18571638,SAME_AS,18782593
18571642,SAME_AS,18782595
18570961,SAME_AS,18782596
18571273,SAME_AS,18782599
18571441,SAME_AS,18782603
18571350,SAME_AS,18782604
18572472,SAME_AS,18782621
18570725,SAME_AS,18782700
18570745,SAME_AS,18782701
18571015,SAME_AS,18782706
18570710,SAME_AS,18782707
18570166,SAME_AS,18782713
18572143,SAME_AS,18782723
18572320,SAME_AS,18782740
18782577,SAME_AS,18810004
18781352,SAME_AS,18810006
18782575,SAME_AS,18810001
18782578,SAME_AS,18810003
18570831,SAME_AS,18810616
18571814,SAME_AS,18810617
18570729,SAME_AS,18810619
18570731,SAME_AS,18810622
18780593,SAME_AS,18810624
18570319,SAME_AS,18810624
18780595,SAME_AS,18810625
18570321,SAME_AS,18810625
18571406,SAME_AS,18810626
18780554,SAME_AS,18810626
18781836,SAME_AS,18812522
18571940,SAME_AS,18812522
18571393,SAME_AS,18812523
18781837,SAME_AS,18812523
18781838,SAME_AS,18812524
18781839,SAME_AS,18812525
18571773,SAME_AS,18812526
18781840,SAME_AS,18812526
18781842,SAME_AS,18812528
18782562,SAME_AS,18810007
18782564,SAME_AS,18810009
18780006,SAME_AS,18810010
18780007,SAME_AS,18810011
18570832,SAME_AS,18810011
18780008,SAME_AS,18810012
18780009,SAME_AS,18810014
18571169,SAME_AS,18810021
18780017,SAME_AS,18810022
18780018,SAME_AS,18810023
18780019,SAME_AS,18810024
18782579,SAME_AS,18810025
18780020,SAME_AS,18810026
18780021,SAME_AS,18810027
18780022,SAME_AS,18810028
18782430,SAME_AS,18810029
18572067,SAME_AS,18810030
18782433,SAME_AS,18810031
18571715,SAME_AS,18810035
18780230,SAME_AS,18810035
18780231,SAME_AS,18810036
18780232,SAME_AS,18810037
18780001,SAME_AS,18810038
18780004,SAME_AS,18810040
18780002,SAME_AS,18810042
18780589,SAME_AS,18810043
18570024,SAME_AS,18810043
18780590,SAME_AS,18810044
18780023,SAME_AS,18810045
18570158,SAME_AS,18810045
18780024,SAME_AS,18810046
18570159,SAME_AS,18810046
18780062,SAME_AS,18810082
18780064,SAME_AS,18810083
18780044,SAME_AS,18810063
18781652,SAME_AS,18810065
18571251,SAME_AS,18810065
18781651,SAME_AS,18810066
18782452,SAME_AS,18810067
18782453,SAME_AS,18810068
18780045,SAME_AS,18810069
18780046,SAME_AS,18810070
18780047,SAME_AS,18810071
18780048,SAME_AS,18810072
18780076,SAME_AS,18810074
18570053,SAME_AS,18810074
18780077,SAME_AS,18810075
18780078,SAME_AS,18810076
18780080,SAME_AS,18810077
